X,Y,Z,azimuth,dip,polarity,formation
286046.7323016428,6419274.052904341,480.3581499021182,320,45,1,Umberatana_Group
283191.69970719505,6418475.048801545,543.2612615747543,320,70,1,Wilpena_Group
282912.83607133455,6418974.145852212,539.3728215510392,310,65,1,Wilpena_Group
281952.65416643163,6419072.111980831,527.5823248644424,305,10,1,Wilpena_Group
280678.9915625473,6419370.072163082,518.577494351298,120,80,1,Wilpena_Group
278946.7577393889,6420324.143553525,469.47495808800926,130,60,1,Yerelina_Subgroup
284259.7075289892,6424923.905441977,466.64379972618605,125,65,1,Wilpena_Group
281027.04227892077,6423288.384374424,469.3400560409767,130,80,1,Umberatana_Group
277116.00543696847,6422096.964715648,489.5996922520771,120,40,1,Umberatana_Group
276990.83170036704,6423569.961031042,464.41734831396866,300,45,1,Umberatana_Group
275723.1536037588,6424446.275563417,496.6252982807104,300,55,1,Yerelina_Subgroup
276339.77628280234,6426575.311088176,512.8812777759606,315,60,1,Wilpena_Group
274772.6782168595,6426978.272032069,547.7167316097239,325,65,1,Wilpena_Group
270456.7688599839,6430008.63215402,492.3550317460665,130,80,1,Yerelina_Subgroup
276567.38707763795,6430473.315881019,534.4592741304849,315,25,1,Wilpena_Group
279227.23895796423,6434390.644324017,556.5564518371134,300,25,1,Wilpena_Group
288769.20544889354,6436874.233508518,539.3003052080716,230,40,1,Burra_Group
287153.86496449576,6436514.078331076,548.283763024257,275,75,1,Burra_Group
285802.051537814,6438616.066857548,563.7398759597032,295,55,1,Umberatana_Group
276053.61419341195,6440762.984259137,501.3197457776771,310,80,0,Yudnamutana_Subgroup
274527.94666695915,6440886.744989341,514.239459147643,280,40,1,Emeroo_Subgroup
273331.37260835594,6442189.522559907,490.2396533082597,280,30,1,Umberatana_Group
278906.234802637,6443938.773566024,525.5808571751536,275,75,1,Umberatana_Group
281343.9468870723,6444034.343835585,577.8049495917242,125,35,1,Wilpena_Group
280462.7346193904,6447164.374178754,550.0424815074407,120,45,1,Umberatana_Group
281430.5562395145,6449125.575697796,583.0313667982596,120,35,1,Umberatana_Group
277612.9124592861,6445374.052140916,503.0,95,70,1,Yudnamutana_Subgroup
273786.735012563,6445626.008916687,480.5705589399797,265,15,1,Umberatana_Group
274252.4876534166,6448706.764486266,490.82261122440036,275,15,1,Burra_Group
274376.6667507209,6450042.5792812705,501.9053676870453,330,25,1,Unnamed_GIS_Unit___see_description
273559.10124565754,6452614.1245976295,544.692035692485,255,10,1,Burra_Group
274702.21453723643,6453166.30949362,532.5551373136061,260,20,1,Burra_Group
275358.3852518989,6454081.9472689275,531.0,255,60,1,Burra_Group
276516.84674082964,6454945.758657681,540.6478545744368,115,8,1,Unnamed_GIS_Unit___see_description
277526.9060228188,6456017.743977506,567.7807599140012,170,3,1,Umberatana_Group
278786.536535572,6456920.632237874,567.1994590175772,0,90,1,Unnamed_GIS_Unit___see_description
279955.1767311912,6455827.227854298,580.4405757230193,90,25,1,Umberatana_Group
276947.23838056275,6452351.141303593,571.1992974206421,135,25,1,Unnamed_GIS_Unit___see_description
