GROUP_,id,x,y,z,code
Hamersley Group,15278,504669.54047863,7488883.729435,599.5457269203206,Brockman_Iron_Formation
Hamersley Group,15278,501444.34138543,7488982.69962776,684.913495117418,Brockman_Iron_Formation
Hamersley Group,15278,501147.57909296,7488800.19847777,768.5493332789057,Brockman_Iron_Formation
Hamersley Group,15278,500831.85873695,7488535.17966923,758.2822151379888,Brockman_Iron_Formation
Hamersley Group,15278,500484.46052287,7488182.19026322,764.9841571214673,Brockman_Iron_Formation
Hamersley Group,15278,500143.32902958,7487747.17956808,805.5929667011214,Brockman_Iron_Formation
Hamersley Group,15278,499922.17970331,7487400.17813625,684.0062704555876,Brockman_Iron_Formation
Hamersley Group,15278,499719.97141351,7487066.16985561,663.8532395242287,Brockman_Iron_Formation
Hamersley Group,15278,499631.46820378,7486889.66947759,666.9747937997455,Brockman_Iron_Formation
Hamersley Group,15278,505306.71858811,7493964.26884435,564.3421285846352,Brockman_Iron_Formation
Hamersley Group,15278,506009.95999126,7492587.27064645,642.5988362635951,Brockman_Iron_Formation
Hamersley Group,15278,507235.8874962021,7495469.90680081,753.2082558324097,Brockman_Iron_Formation
Hamersley Group,15278,506839.79019263,7495149.29129947,676.4293318917114,Brockman_Iron_Formation
Hamersley Group,15278,506178.92853302,7494708.29140381,598.2319904802268,Brockman_Iron_Formation
Hamersley Group,15278,505493.6893041,7494512.77983444,605.4678118704066,Brockman_Iron_Formation
Hamersley Group,15278,504928.67019884,7494580.76953128,564.7084186025168,Brockman_Iron_Formation
Hamersley Group,15278,505159.38894207,7494252.77716992,565.1348211078697,Brockman_Iron_Formation
Hamersley Group,15278,503311.33127991,7490794.23871237,608.9314649598714,Brockman_Iron_Formation
Hamersley Group,15278,502974.5984068,7492183.72898131,560.5598906453713,Brockman_Iron_Formation
Hamersley Group,15278,502872.28940406,7492075.7291598,565.0942185779769,Brockman_Iron_Formation
Hamersley Group,15278,502776.11162285,7491904.72951889,583.6821146310394,Brockman_Iron_Formation
Hamersley Group,15278,502711.57870169,7491707.72907514,593.34493285966,Brockman_Iron_Formation
Hamersley Group,15278,502613.67972073,7491186.22224927,617.7543435571465,Brockman_Iron_Formation
Hamersley Group,15278,502528.04940299,7490569.21972174,644.7987173032876,Brockman_Iron_Formation
Hamersley Group,15278,502418.1699172,7490194.23163153,672.1498568459293,Brockman_Iron_Formation
